public_date,gicdesc,NFIRM,indret_ew,indret_vw,dpr_Median,CAPEI_Median,divyield_Median,pe_exi_Median,pe_inc_Median,efftax_Median,aftret_invcapx_Median,gpm_Median,roa_Median,roe_Median,debt_invcap_Median,totdebt_invcap_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,intcov_ratio_Median,cash_ratio_Median,curr_ratio_Median
2010-11-30,Consumer Discretionary,581,0.042791,0.039783,0.000,12.476,1.87%,12.928,12.906,0.348,0.082,0.368,0.132,0.095,0.235,0.320,0.977,0.525,0.193,4.341,0.517,1.801
2010-11-30,Consumer Staples,170,0.005547,-0.008800,0.135,16.401,2.46%,13.496,13.496,0.342,0.105,0.357,0.147,0.124,0.221,0.322,0.902,0.491,0.221,8.223,0.407,1.863
2010-11-30,Energy,221,0.106922,0.059439,0.000,11.481,.988%,9.636,9.778,0.325,0.050,0.412,0.110,0.038,0.275,0.315,0.879,0.516,0.220,1.971,0.450,1.552
2010-11-30,Financials,747,-0.005210,-0.005571,0.426,11.872,2.45%,9.973,9.975,0.297,0.000,0.492,0.016,0.042,0.348,0.561,8.252,0.892,0.109,5.309,0.934,2.244
2010-11-30,Health Care,574,0.004721,-0.021737,0.000,-1.915,1.83%,-1.226,-1.048,0.329,0.000,0.410,0.065,0.001,0.027,0.097,0.525,0.393,0.075,2.592,1.725,2.932
2010-11-30,Industrials,552,0.027675,0.018468,0.038,16.986,1.63%,15.688,15.660,0.332,0.070,0.290,0.117,0.074,0.211,0.273,0.930,0.505,0.174,5.543,0.456,2.053
2010-11-30,Information Technology,704,0.022477,-0.007478,0.000,13.058,1.64%,13.278,13.299,0.270,0.043,0.495,0.102,0.066,0.008,0.048,0.548,0.358,0.033,6.404,1.320,2.505
2010-11-30,Materials,195,0.036691,0.013049,0.105,17.424,1.70%,13.348,13.097,0.322,0.085,0.259,0.124,0.088,0.287,0.338,1.111,0.540,0.221,5.239,0.501,2.372
2010-11-30,Utilities,102,-0.006254,-0.023431,0.594,16.783,4.33%,13.567,13.551,0.341,0.071,0.269,0.093,0.072,0.497,0.559,2.326,0.695,0.339,2.967,0.128,1.054
2010-12-31,Communication Services,49,0.055824,0.074607,0.000,13.375,5.80%,14.091,14.091,0.345,0.064,0.580,0.155,0.034,0.502,0.534,1.488,0.621,0.390,1.853,0.809,1.644
2010-12-31,Consumer Discretionary,582,0.067094,0.039741,0.000,13.713,1.73%,13.966,13.885,0.348,0.082,0.368,0.132,0.097,0.230,0.323,0.970,0.529,0.200,4.225,0.514,1.801
2010-12-31,Consumer Staples,169,0.049374,0.039714,0.157,17.001,2.44%,14.114,14.114,0.342,0.104,0.359,0.146,0.125,0.222,0.312,0.894,0.490,0.217,8.396,0.411,1.863
2010-12-31,Energy,219,0.098759,0.091186,0.000,12.843,.895%,10.329,10.329,0.324,0.050,0.409,0.112,0.039,0.280,0.317,0.883,0.516,0.220,1.971,0.443,1.552
2010-12-31,Financials,744,0.084874,0.118436,0.423,12.689,2.22%,10.842,10.890,0.297,0.000,0.491,0.016,0.043,0.347,0.560,8.229,0.891,0.109,5.250,1.092,2.220
2010-12-31,Health Care,569,0.112228,0.055456,0.000,-1.863,1.68%,-1.915,-1.573,0.329,0.000,0.410,0.066,0.005,0.028,0.096,0.515,0.388,0.074,2.779,1.730,2.956
2010-12-31,Industrials,549,0.092105,0.077265,0.048,18.561,1.52%,16.919,16.853,0.332,0.070,0.290,0.117,0.075,0.196,0.269,0.912,0.500,0.172,5.656,0.458,2.028
2010-12-31,Information Technology,689,0.073666,0.056317,0.000,14.045,1.61%,14.317,14.199,0.267,0.046,0.494,0.103,0.068,0.008,0.050,0.555,0.360,0.034,6.542,1.278,2.505
2010-12-31,Materials,196,0.132465,0.102920,0.108,18.996,1.62%,14.428,14.289,0.315,0.085,0.259,0.124,0.088,0.287,0.330,1.106,0.538,0.220,5.207,0.504,2.378
2010-12-31,Utilities,101,0.038590,0.031732,0.592,17.225,4.28%,14.139,14.106,0.340,0.071,0.269,0.093,0.072,0.500,0.559,2.329,0.696,0.339,2.973,0.129,1.047
2011-01-31,Communication Services,48,0.014099,-0.024214,0.000,10.342,6.05%,13.745,13.684,0.337,0.063,0.577,0.151,0.033,0.504,0.563,1.517,0.623,0.394,1.836,0.802,1.593
2011-01-31,Consumer Discretionary,580,-0.002805,-0.009422,0.000,13.665,1.78%,13.936,13.654,0.348,0.082,0.368,0.133,0.097,0.239,0.323,0.983,0.529,0.200,4.225,0.516,1.795
2011-01-31,Consumer Staples,171,-0.020320,-0.012623,0.157,16.761,2.55%,13.790,13.835,0.342,0.104,0.357,0.146,0.126,0.222,0.321,0.894,0.492,0.217,8.049,0.399,1.858
2011-01-31,Energy,220,0.075114,0.071679,0.000,13.778,.805%,11.342,11.342,0.324,0.049,0.410,0.112,0.038,0.284,0.318,0.885,0.516,0.221,1.962,0.452,1.547
2011-01-31,Financials,741,0.030134,0.018920,0.421,12.797,2.22%,10.860,10.907,0.297,0.000,0.492,0.016,0.043,0.346,0.558,8.208,0.891,0.109,5.250,0.973,2.220
2011-01-31,Health Care,569,0.018365,0.006555,0.000,-1.909,1.63%,-2.102,-2.007,0.329,0.000,0.409,0.066,0.010,0.030,0.098,0.519,0.390,0.075,2.707,1.715,2.931
2011-01-31,Industrials,548,0.012680,0.035116,0.058,18.532,1.54%,16.959,16.883,0.332,0.070,0.289,0.117,0.076,0.196,0.268,0.906,0.499,0.169,5.667,0.461,2.028
2011-01-31,Information Technology,687,0.037593,0.040327,0.000,14.279,1.58%,15.125,15.023,0.267,0.048,0.495,0.104,0.069,0.009,0.049,0.555,0.360,0.034,6.446,1.278,2.483
